Runs,Pos,Inns,BF,Time
12,2,1,22,33
37,2,2,67,82
25,1,1,38,40
54,1,1,66,87
31,1,2,46,45
2,7,1,2,6
16,4,2,24,28
79,4,2,104,121
30,4,2,41,53
10,3,2,16,32
27,7,1,19,20
54,4,1,65,93
9,3,1,12,19
91,3,2,102,136
71,3,2,68,98
102,3,2,95,128
2,3,1,8,6
0,3,1,0,3
82,3,2,92,125
18,3,1,29,28
68,3,1,95,123
11,3,2,22,35
18,3,2,27,31
10,3,1,14,13
28,3,1,34,57
0,3,2,3,5
8,3,1,16,22
37,3,2,57,98
118,3,2,121,193
105,3,1,104,162
64,3,2,73,78
63,3,2,70,83
0,3,2,2,3
2,3,2,8,10
54,3,2,70,122
22,3,1,34,43
28,3,2,41,51
87,3,2,92,126
2,3,2,6,11
100,4,1,83,113
8,7,1,5,12
34,4,2,53,82
12,5,2,20,16
1,7,1,3,2
59,3,1,76,128
24,4,2,33,38
9,4,1,21,20
35,4,2,49,69
2,3,2,8,5
81,3,2,103,118
0,3,2,1,1
22,3,2,33,68
94,3,1,104,135
55,4,1,73,92
9,4,1,9,9
7,4,1,18,18
16,4,1,36,40
107,4,1,93,102
37,4,1,63,70
112,4,2,98,134
35,4,2,30,42
0,3,1,5,5
3,4,2,6,13
117,4,2,123,154
20,4,2,30,21
23,6,1,11,15
80,5,1,85,99
31,3,2,34,30
77,3,2,94,156
18,3,2,28,41
15,3,2,25,32
12,3,2,25,44
66,4,2,83,116
21,4,2,27,36
133,4,2,86,133
108,3,1,120,148
66,3,1,82,126
183,3,2,148,211
106,3,1,113,158
1,3,1,5,6
38,3,2,65,80
128,3,2,119,187
23,3,1,35,42
0,3,1,5,9
6,3,2,9,12
7,3,1,17,25
15,3,2,22,45
37,3,1,54,86
77,3,2,79,110
26,3,2,33,44
0,3,1,1,1
31,3,1,41,46
22,3,2,18,18
22,3,2,27,36
58,3,2,64,80
43,3,1,34,66
11,3,1,21,19
2,4,2,5,6
102,3,1,83,120
31,3,1,52,62
2,3,2,5,8
115,3,2,108,133
14,3,1,18,35
68,3,2,88,128
61,3,2,85,121
100,3,2,52,82
68,3,1,73,121
115,3,2,66,104
0,3,1,3,4
86,3,2,84,120
99,3,1,100,159
19,3,2,18,19
31,3,2,35,41
0,3,2,5,7
123,3,2,111,179
78,3,2,65,88
6,3,2,20,27
2,2,1,10,14
82,3,2,78,129
136,3,2,122,157
48,3,1,51,66
5,3,1,11,29
0,3,1,3,1
40,3,2,50,67
1,3,2,3,9
13,3,2,21,25
2,3,2,5,7
62,4,1,78,124
127,3,1,114,164
22,4,1,21,34
49,4,2,44,1
53,4,2,61,1
66,4,1,64,109
139,4,2,126,192
9,4,1,16,24
4,4,1,8,13
3,4,1,9,8
8,3,1,19,26
107,3,1,126,168
46,3,1,60,106
33,3,2,41,49
33,3,2,36,51
44,3,2,42,64
38,3,2,48,71
3,3,1,8,6
1,3,2,13,11
1,3,2,4,9
23,3,1,27,57
25,3,1,35,55
11,4,2,18,29
12,4,1,18,24
77,3,2,99,155
138,3,1,140,202
7,3,2,6,11
91,3,1,97,148
59,3,1,67,84
117,3,1,117,174
106,3,2,92,131
8,3,2,11,11
85,3,2,81,109
9,3,2,13,18
154,3,2,134,202
45,3,2,51,64
65,3,1,76,152
122,3,2,105,147
8,3,1,5,6
55,3,2,63,81
86,4,2,99,125
31,5,1,46,50
57,3,2,71,85
107,4,2,114,160
